EPOQUE,GAMMA,AVAILABLE_ACTIONS,N0,REWARD_IF_CROSS,REWARD_IF_COLLISION,REWARD_IF_STILL,TOTAL_EPOQUE,EPSILON,ALPHA,TOTAL_REWARDS,MEAN_SCORE,MEAN_SCORE_[-10],SCORE
841,0.99,2,5.0,100,-10,0,1001,0.12,0.02,2040.00,21.13,25.30,24
842,0.99,2,5.0,100,-10,0,1001,0.06,0.12,2130.00,21.14,25.20,24
843,0.99,2,5.0,100,-10,0,1001,0.06,0.02,2630.00,21.14,25.30,28
844,0.99,2,5.0,100,-10,0,1001,0.06,0.02,2220.00,21.15,25.10,25
845,0.99,2,5.0,100,-10,0,1001,0.45,0.17,2550.00,21.15,25.50,27
846,0.99,2,5.0,100,-10,0,1001,0.50,0.25,2660.00,21.16,25.70,27
847,0.99,2,5.0,100,-10,0,1001,0.09,0.03,2430.00,21.17,25.70,26
848,0.99,2,5.0,100,-10,0,1001,0.22,0.09,2300.00,21.17,25.60,24
849,0.99,2,5.0,100,-10,0,1001,0.21,0.25,2050.00,21.17,25.30,23
850,0.99,2,5.0,100,-10,0,1001,0.42,0.50,2280.00,21.18,25.30,25
851,0.99,2,5.0,100,-10,0,1001,0.09,0.03,2580.00,21.18,25.60,27
852,0.99,2,5.0,100,-10,0,1001,0.06,0.02,2460.00,21.19,25.80,26
853,0.99,2,5.0,100,-10,0,1001,0.18,0.05,2120.00,21.19,25.40,24
854,0.99,2,5.0,100,-10,0,1001,0.06,0.03,2630.00,21.20,25.60,27
855,0.99,2,5.0,100,-10,0,1001,0.42,0.50,2140.00,21.20,25.40,25
856,0.99,2,5.0,100,-10,0,1001,0.06,0.02,2370.00,21.21,25.30,26
857,0.99,2,5.0,100,-10,0,1001,0.06,0.07,1790.00,21.21,24.90,22
858,0.99,2,5.0,100,-10,0,1001,0.31,0.33,2340.00,21.22,25.00,25
859,0.99,2,5.0,100,-10,0,1001,0.09,0.06,2330.00,21.22,25.20,25
860,0.99,2,5.0,100,-10,0,1001,0.06,0.06,2490.00,21.23,25.40,27
861,0.99,2,5.0,100,-10,0,1001,0.09,0.03,2310.00,21.23,25.30,26
862,0.99,2,5.0,100,-10,0,1001,0.06,0.02,1970.00,21.23,25.00,23
863,0.99,2,5.0,100,-10,0,1001,0.06,0.06,2230.00,21.24,25.10,25
864,0.99,2,5.0,100,-10,0,1001,0.12,0.05,2480.00,21.24,25.00,26
865,0.99,2,5.0,100,-10,0,1001,0.09,0.11,2290.00,21.25,25.00,25
866,0.99,2,5.0,100,-10,0,1001,0.45,0.33,2370.00,21.25,25.00,26
867,0.99,2,5.0,100,-10,0,1001,0.06,0.11,2390.00,21.26,25.30,25
868,0.99,2,5.0,100,-10,0,1001,0.12,0.02,2540.00,21.26,25.50,27
869,0.99,2,5.0,100,-10,0,1001,0.06,0.03,2200.00,21.27,25.50,25
870,0.99,2,5.0,100,-10,0,1001,0.19,0.20,2410.00,21.27,25.40,26
871,0.99,2,5.0,100,-10,0,1001,0.16,0.03,1970.00,21.28,25.10,23
872,0.99,2,5.0,100,-10,0,1001,0.09,0.25,2260.00,21.28,25.30,25
873,0.99,2,5.0,100,-10,0,1001,0.06,0.03,2300.00,21.29,25.40,26
874,0.99,2,5.0,100,-10,0,1001,0.12,0.12,2450.00,21.29,25.40,26
875,0.99,2,5.0,100,-10,0,1001,0.08,0.03,1970.00,21.29,25.20,23
876,0.99,2,5.0,100,-10,0,1001,0.17,0.17,2280.00,21.30,25.10,25
877,0.99,2,5.0,100,-10,0,1001,0.08,0.05,2470.00,21.30,25.20,26
878,0.99,2,5.0,100,-10,0,1001,0.11,0.01,2400.00,21.31,25.00,25
879,0.99,2,5.0,100,-10,0,1001,0.08,0.03,2560.00,21.31,25.20,27
880,0.99,2,5.0,100,-10,0,1001,0.38,0.17,2180.00,21.32,25.00,24
881,0.99,2,5.0,100,-10,0,1001,0.28,0.10,2390.00,21.32,25.30,26
882,0.99,2,5.0,100,-10,0,1001,0.06,0.01,2170.00,21.33,25.20,24
883,0.99,2,5.0,100,-10,0,1001,0.05,0.03,2180.00,21.33,25.00,24
884,0.99,2,5.0,100,-10,0,1001,0.38,0.10,2380.00,21.33,25.00,26
885,0.99,2,5.0,100,-10,0,1001,0.26,0.25,2060.00,21.34,25.10,24
886,0.99,2,5.0,100,-10,0,1001,0.08,0.03,2420.00,21.34,25.20,26
887,0.99,2,5.0,100,-10,0,1001,0.36,0.25,2290.00,21.35,25.10,25
888,0.99,2,5.0,100,-10,0,1001,0.38,0.33,2290.00,21.35,25.10,25
889,0.99,2,5.0,100,-10,0,1001,0.05,0.03,2420.00,21.36,25.00,26
890,0.99,2,5.0,100,-10,0,1001,0.05,0.01,2400.00,21.36,25.20,26
891,0.99,2,5.0,100,-10,0,1001,0.05,0.01,2420.00,21.37,25.20,26
892,0.99,2,5.0,100,-10,0,1001,0.05,0.01,2260.00,21.37,25.30,25
893,0.99,2,5.0,100,-10,0,1001,0.11,0.09,2450.00,21.37,25.50,26
894,0.99,2,5.0,100,-10,0,1001,0.56,0.20,2250.00,21.38,25.40,25
895,0.99,2,5.0,100,-10,0,1001,0.19,0.06,2570.00,21.39,25.70,27
896,0.99,2,5.0,100,-10,0,1001,0.16,0.06,2410.00,21.39,25.70,26
897,0.99,2,5.0,100,-10,0,1001,0.05,0.04,2370.00,21.40,25.80,26
898,0.99,2,5.0,100,-10,0,1001,0.15,0.06,2440.00,21.40,25.90,26
899,0.99,2,5.0,100,-10,0,1001,0.50,0.17,2240.00,21.40,25.70,24
900,0.99,2,5.0,100,-10,0,1001,0.05,0.01,2420.00,21.41,25.70,26
901,0.99,2,5.0,100,-10,0,1001,0.05,0.03,2250.00,21.41,25.60,25
902,0.99,2,5.0,100,-10,0,1001,0.08,0.01,2440.00,21.42,25.70,26
903,0.99,2,5.0,100,-10,0,1001,0.08,0.03,2240.00,21.42,25.60,25
904,0.99,2,5.0,100,-10,0,1001,0.38,0.33,2280.00,21.43,25.60,25
905,0.99,2,5.0,100,-10,0,1001,0.11,0.01,2470.00,21.43,25.50,26
906,0.99,2,5.0,100,-10,0,1001,0.62,0.06,2300.00,21.43,25.40,25
907,0.99,2,5.0,100,-10,0,1001,0.56,0.33,2300.00,21.44,25.30,25
908,0.99,2,5.0,100,-10,0,1001,0.36,0.33,2440.00,21.44,25.30,26
