Epsilon;Alpha;Gamma;Epochs_learn;Penalties_learn;Epochs_eval;Penalties_eval;Worked
0.4;0.7000000000000001;0.9;2339648;280317;1295;0;True
0.4;0.8;0.1;2355665;283125;1328;0;True
0.4;0.8;0.2;2348486;281695;1314;0;True
0.4;0.8;0.30000000000000004;2341299;281287;1309;0;True
0.4;0.8;0.4;2344783;281058;1323;0;True
0.4;0.8;0.5;2340838;280881;1308;0;True
0.4;0.8;0.6;2341360;281014;1316;0;True
0.4;0.8;0.7000000000000001;2345562;281206;1333;0;True
0.4;0.8;0.8;2346075;281655;1322;0;True
0.4;0.8;0.9;2344791;281348;1259;0;True
0.4;0.9;0.1;2347708;282831;1301;0;True
0.4;0.9;0.2;2348600;282590;1308;0;True
0.4;0.9;0.30000000000000004;2345166;281115;1285;0;True
0.4;0.9;0.4;2342155;281265;1292;0;True
0.4;0.9;0.5;2340402;281785;1312;0;True
0.4;0.9;0.6;2343058;281707;1318;0;True
0.4;0.9;0.7000000000000001;2337984;280775;1355;0;True
0.4;0.9;0.8;2344434;281423;1270;0;True
0.4;0.9;0.9;2342474;281279;1323;0;True
0.5;0.1;0.1;3262869;496493;100030;0;False
0.5;0.1;0.2;3152593;479391;1295;0;True
0.5;0.1;0.30000000000000004;3100461;469019;1286;0;True
0.5;0.1;0.4;3081787;467947;1303;0;True
0.5;0.1;0.5;3040551;459683;1286;0;True
0.5;0.1;0.6;3032441;458804;1347;0;True
0.5;0.1;0.7000000000000001;3005000;453896;1313;0;True
0.5;0.1;0.8;2992885;451110;1354;0;True
0.5;0.1;0.9;2980379;449010;1295;0;True
0.5;0.2;0.1;3064089;464060;1309;0;True
0.5;0.2;0.2;3018051;456420;1282;0;True
0.5;0.2;0.30000000000000004;2983763;451172;1348;0;True
0.5;0.2;0.4;2977552;449974;1320;0;True
0.5;0.2;0.5;2951285;445849;1348;0;True
0.5;0.2;0.6;2949350;444859;1293;0;True
0.5;0.2;0.7000000000000001;2946321;444505;1289;0;True
0.5;0.2;0.8;2929900;443282;1256;0;True
0.5;0.2;0.9;2938201;443335;1317;0;True
0.5;0.30000000000000004;0.1;3011295;455609;100031;0;False
0.5;0.30000000000000004;0.2;2959081;446679;1300;0;True
0.5;0.30000000000000004;0.30000000000000004;2949613;445058;1287;0;True
0.5;0.30000000000000004;0.4;2931927;442617;1295;0;True
0.5;0.30000000000000004;0.5;2937174;444781;1295;0;True
0.5;0.30000000000000004;0.6;2925577;441499;1317;0;True
0.5;0.30000000000000004;0.7000000000000001;2924796;441527;1327;0;True
0.5;0.30000000000000004;0.8;2917223;440984;1313;0;True
0.5;0.30000000000000004;0.9;2920762;442397;1285;0;True
0.5;0.4;0.1;2972958;449270;1303;0;True
0.5;0.4;0.2;2942054;444529;1303;0;True
0.5;0.4;0.30000000000000004;2932602;442324;1253;0;True
0.5;0.4;0.4;2921492;441470;1340;0;True
0.5;0.4;0.5;2919658;440830;1263;0;True
0.5;0.4;0.6;2917289;439374;1328;0;True
0.5;0.4;0.7000000000000001;2910232;437360;1350;0;True
0.5;0.4;0.8;2915027;439805;1331;0;True
0.5;0.4;0.9;2906564;438892;1345;0;True
0.5;0.5;0.1;2934783;442371;1239;0;True
0.5;0.5;0.2;2929015;442008;1299;0;True
0.5;0.5;0.30000000000000004;2909562;439642;1320;0;True
0.5;0.5;0.4;2923621;440526;1271;0;True
0.5;0.5;0.5;2912274;439207;1336;0;True
0.5;0.5;0.6;2910046;439667;1272;0;True
0.5;0.5;0.7000000000000001;2903128;438288;1277;0;True
0.5;0.5;0.8;2905683;438957;1310;0;True
0.5;0.5;0.9;2904212;439232;1256;0;True
0.5;0.6;0.1;2927887;443344;1354;0;True
0.5;0.6;0.2;2919706;440707;1329;0;True
0.5;0.6;0.30000000000000004;2903094;437340;1315;0;True
0.5;0.6;0.4;2900417;437393;1313;0;True
0.5;0.6;0.5;2906928;438853;1314;0;True
0.5;0.6;0.6;2899309;437071;1329;0;True
0.5;0.6;0.7000000000000001;2903021;437446;1302;0;True
0.5;0.6;0.8;2897121;437459;1312;0;True
0.5;0.6;0.9;2898352;438312;1279;0;True
0.5;0.7000000000000001;0.1;2917912;440276;1329;0;True
0.5;0.7000000000000001;0.2;2904969;438019;1302;0;True
0.5;0.7000000000000001;0.30000000000000004;2904691;437984;1354;0;True
0.5;0.7000000000000001;0.4;2903610;438469;1335;0;True
0.5;0.7000000000000001;0.5;2899226;437409;1306;0;True
0.5;0.7000000000000001;0.6;2902112;439091;1304;0;True
0.5;0.7000000000000001;0.7000000000000001;2896983;436016;1306;0;True
0.5;0.7000000000000001;0.8;2897733;437964;1293;0;True
0.5;0.7000000000000001;0.9;2896953;437404;1284;0;True
0.5;0.8;0.1;2910547;439140;1296;0;True
0.5;0.8;0.2;2907888;439483;1291;0;True
0.5;0.8;0.30000000000000004;2909162;440548;1319;0;True
0.5;0.8;0.4;2897424;436240;1316;0;True
0.5;0.8;0.5;2898586;436109;1300;0;True
0.5;0.8;0.6;2896995;436765;1281;0;True
0.5;0.8;0.7000000000000001;2897290;436894;1306;0;True
0.5;0.8;0.8;2892684;436686;1341;0;True
0.5;0.8;0.9;2897590;436392;1304;0;True
0.5;0.9;0.1;2900129;437593;1299;0;True
0.5;0.9;0.2;2900723;437023;1292;0;True
0.5;0.9;0.30000000000000004;2900913;437513;1311;0;True
0.5;0.9;0.4;2891584;436589;1262;0;True
0.5;0.9;0.5;2892433;436894;1305;0;True
0.5;0.9;0.6;2896750;437253;1296;0;True
0.5;0.9;0.7000000000000001;2892491;436999;1272;0;True
0.5;0.9;0.8;2894130;436120;1311;0;True
0.5;0.9;0.9;2899796;438326;1309;0;True
0.6;0.1;0.1;4136545;759449;100014;0;False
0.6;0.1;0.2;4034576;739125;1334;0;True
0.6;0.1;0.30000000000000004;3985021;728989;1284;0;True
0.6;0.1;0.4;3946157;721379;1329;0;True
0.6;0.1;0.5;3904000;713126;1303;0;True
0.6;0.1;0.6;3895821;711813;1258;0;True
0.6;0.1;0.7000000000000001;3896672;712557;1299;0;True
0.6;0.1;0.8;3880016;709172;1305;0;True
0.6;0.1;0.9;3862422;704875;1300;0;True
0.6;0.2;0.1;3952236;724249;1333;0;True
0.6;0.2;0.2;3885118;709991;1272;0;True
0.6;0.2;0.30000000000000004;3868872;705524;1312;0;True
0.6;0.2;0.4;3857111;705289;1318;0;True
0.6;0.2;0.5;3833093;698944;1287;0;True
0.6;0.2;0.6;3837474;700410;1278;0;True
0.6;0.2;0.7000000000000001;3821825;698025;1280;0;True
0.6;0.2;0.8;3813554;695940;1340;0;True
0.6;0.2;0.9;3817719;697399;1349;0;True
0.6;0.30000000000000004;0.1;3887427;709294;100086;0;False
0.6;0.30000000000000004;0.2;3859359;704087;1293;0;True
0.6;0.30000000000000004;0.30000000000000004;3817650;697016;1302;0;True
0.6;0.30000000000000004;0.4;3810419;695394;1335;0;True
0.6;0.30000000000000004;0.5;3806373;694915;1289;0;True
